SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
72,Solana,SOL,31-10-2020 23:59,154932692,14298941,144133589,154069959,6.45E+14,7.05E+15
73,Solana,SOL,01-11-2020 23:59,163790251,15135429,154069959,15998403,6.88E+14,7.33E+14
74,Solana,SOL,02-11-2020 23:59,163017961,146769542,15998403,147407225,6.37E+14,6.75E+14
75,Solana,SOL,03-11-2020 23:59,148050074,141218556,147407225,141223396,6.54E+14,6.48E+14
76,Solana,SOL,04-11-2020 23:59,141289802,128186754,141223396,139225494,1.14E+15,6.39E+15
77,Solana,SOL,05-11-2020 23:59,148617047,130382463,139225494,140521805,8.92E+14,6.45E+15
78,Solana,SOL,06-11-2020 23:59,194070665,14000105,140521805,191374,2.25E+14,8.78E+15
79,Solana,SOL,07-11-2020 23:59,248136883,18448312,191374,203196386,5.14E+15,9.32E+15
80,Solana,SOL,08-11-2020 23:59,226477908,197440202,203196386,215659813,2.59E+15,9.90E+15
81,Solana,SOL,09-11-2020 23:59,218931332,195875292,215659813,202865216,1.82E+15,9.31E+15
82,Solana,SOL,10-11-2020 23:59,230798752,201232067,202865214,2247987,1.62E+15,1.03E+16
83,Solana,SOL,11-11-2020 23:59,228414065,197416514,224798704,20021245,1.39E+15,9.19E+15
84,Solana,SOL,12-11-2020 23:59,205029785,183172821,20021245,189913759,1.15E+15,8.72E+15
85,Solana,SOL,13-11-2020 23:59,206111583,189913758,189913758,202079216,1.16E+15,9.28E+15
86,Solana,SOL,14-11-2020 23:59,203349056,18752786,202079216,191701557,8.13E+14,8.80E+15
87,Solana,SOL,15-11-2020 23:59,220905889,191684762,191701557,204323394,1.86E+15,9.38E+15
88,Solana,SOL,16-11-2020 23:59,236021108,199485284,204323394,225535545,2.22E+15,1.04E+16
89,Solana,SOL,17-11-2020 23:59,231818626,213258981,228108028,220218147,1.71E+15,1.01E+16
90,Solana,SOL,18-11-2020 23:59,220592249,201269296,220218147,211502872,1.46E+15,9.71E+15
91,Solana,SOL,19-11-2020 23:59,217502241,201816579,211502868,207676865,1.02E+15,9.53E+14
92,Solana,SOL,20-11-2020 23:59,223039141,205697179,207676865,209539164,1.11E+15,9.62E+15
93,Solana,SOL,21-11-2020 23:59,249882755,204852394,209539164,238220531,2.03E+15,1.09E+16
94,Solana,SOL,22-11-2020 23:59,240382123,205393793,238220531,214484477,1.64E+15,9.87E+15
95,Solana,SOL,23-11-2020 23:59,23515985,212031471,214484476,227637688,1.55E+15,1.05E+16
96,Solana,SOL,24-11-2020 23:59,246638443,214379452,227724054,226796698,2.50E+15,1.04E+16
97,Solana,SOL,25-11-2020 23:59,247758651,218277698,226948514,227003407,2.49E+15,1.04E+16
98,Solana,SOL,26-11-2020 23:59,229170177,174149279,226653371,190303693,3.30E+15,8.76E+15
99,Solana,SOL,27-11-2020 23:59,197065316,178036344,190333468,185794881,1.33E+15,8.55E+15
100,Solana,SOL,28-11-2020 23:59,193971542,181071037,185982503,188893452,1.17E+15,8.69E+15
